config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
pt_particle_optimised_structure,1,20.68196782738596,8.666274803430774,1289.0316863396922
ptohdiss_optimised_structure,1,5.631706505511147,40.53670107925393,198.6735670285856
ptodiss_optimised_structure,1,7.293469795826013,54.80846421282372,141.02173986035947
pto2diss_optimised_structure,1,8.440994892680465,49.49925937948731,100.35191522077943
FORCED_Chair4x4,1,4.304753417329721,249.72554428779543,100.01766103135971
FORCED_Zig4x4,1,49.51383365491324,674.5750089308276,100.0063281729504
pt3o4,1,13.01094699965688,79.23925751931405,99.87337045406795
FORCED_Zig4x4_sol,1,42.90062984151177,617.7071787692898,98.3121912411707
FORCED_Chair4x4_sol,1,2.6265709379629243,228.879486525379,97.22917079208905
ptclosenaf0.375_optimised_structure,1,1.1626206427308716,62.177602876871056,81.06405800390351
finalo2v_optimised_structure,1,2.7830166939111223,56.637262698295025,72.79020241462132
simple_naf_optimised_structure,1,6.106446976332336,121.18938048695574,70.34691829947155
FORCED_Naf0.25PtOH_neb_img00,1,0.8342865186250492,75.2009958735751,69.46523652844868
ptn0.75_optimised_structure,1,4.746403019566969,70.31824360714442,69.23315124676468
FORCED_Naf0.75Pt_neb_img06,1,2.116528291594477,89.69354263426415,68.42802241621949
FORCED_Naf0.375PtO2_neb_img00,1,1.4549441000326624,70.29065714450218,67.12411604724393
inputvoh_optimised_structure,1,0.6901700426169555,56.70797376837699,67.04531895763742
FORCED_Naf0.375PtOH_neb_img00,1,3.7671739376037294,73.16819183289508,67.0044602527601
FORCED_Naf0.25PtOH2_neb_img00,1,0.5442024325930106,67.35546506560443,65.84523108752097
inputoh2_optimised_structure,1,1.0975237048569397,56.171075137633615,65.72887680968543
ptclosenaf1.0_optimised_structure,1,0.4583837888958442,75.94460385983602,64.97073394489381
FORCED_Close0.375PtOH2_neb_img05,1,9.60980335412387,163.64549299262524,63.34286752827394
finoh0.75_optimised_structure,1,4.410065763295279,67.15363781253271,63.24022663816903
FORCED_Naf0.75PtO2_neb_img00,1,5.00419549621256,71.78869893600672,63.053311041017025
finohv_optimised_structure,1,1.2752700562259633,58.03850960486091,63.00633844826372
finoh2v_optimised_structure,1,1.4018864197851144,59.27004265630598,62.65704081413285
FORCED_Naf0.75PtOH_neb_img00,1,4.4562704060808755,72.45900562260493,62.45239058612081
FORCED_Naf0.75PtOH2_neb_img08,1,6.485978452815289,101.13238104622856,62.27342941844337
FORCED_Naf0.75PtO2_neb_img04,1,15.986163866955394,159.30632149101078,62.15505597142087
FORCED_Naf0.75PtOH2_neb_img00,1,3.9948573447645686,70.41027596273767,61.70704888606738
inoh0.75_optimised_structure,1,4.840979725713623,67.45169589133947,60.84803879997152
finv0.75_optimised_structure,1,2.108569613369582,67.98379930276374,59.405197782543375
finalv_optimised_structure,1,0.5415084431206196,79.78246533939821,59.383980948546736
ptn1.0_optimised_structure,1,3.274269265489238,91.7722968446088,59.19956015011374
Naf0.375Pt,8,4.167221739194265,70.89211009321193,57.22235967587563
ptnohv_optimised_structure,1,2.5965948336761357,66.14518697386006,57.12070951024779
ptnoh_optimised_structure,1,1.9203277767019244,55.630332374081,56.83023195738913
Naf0.25PtOH,3,3.132690371194951,69.90854213894225,55.477738684386246
finoh20.75_optimised_structure,1,2.0891004232908017,63.4409143625769,55.455961912657344
FORCED_Nafion_four_dry_neb_img11,1,4.424762080361688,134.72903497817006,55.45287335429284
FORCED_Nafion_four_dry,1,4.160108228631998,134.7280203482746,55.45232719098688
FORCED_Naf0.375PtOH_neb_img10,1,4.19657502766313,69.09491966795906,55.43941831935187
FORCED_Nafion_single_dry,1,3.475228903084826,131.32588397624207,55.26936205043938
FORCED_Nafion_single_dry_neb_img11,1,3.686323581518991,131.32350693873414,55.269049467522024
FORCED_7PtGraph_sol,1,3.0588197391807626,105.79200023316396,53.68663698429678
Naf0.0Pt,6,3.791204290546611,76.27500264951831,53.329940977437495
Naf0.375PtO,5,4.252221033032798,92.85850159363052,52.53027904442699
inoh20.75_optimised_structure,1,3.183624304369914,64.98174764864281,52.35819423269169
Naf0.375PtO2,11,4.94517990531059,68.10605394290187,51.697388084336865
Naf1.0Pt,12,4.398972868938788,84.42912754135617,50.7551414833811
Naf0.375PtOH2,9,5.602806727473377,73.58017539229125,49.84546921102172
FORCED_Naf0.75PtO2_neb_img07,1,4.60769665812677,91.39343787915419,49.592949937768886
FORCED_Naf0.375PtOH_neb_img08,1,8.249573229363705,76.84204718773312,49.332455135311776
bot_dryo.375_pos_1,10,3.483964626664072,60.703193475599825,47.54409663955382
DissolvedOH_Nafion,19,7.144641617014924,62.28323246083427,47.51035697723081
FORCED_Close0.375PtOH_neb_img08,1,2.5561014804225124,88.18237887531629,46.60494871218148
Naf0.25Pt,4,4.920905444706086,86.39759293785612,46.52474743586997
Naf1.0PtO2,12,5.41527869376632,70.23523235317411,45.71432546265282
FORCED_Naf1.0PtOH2,1,0.4905874634459906,62.22148459870216,45.452801564101854
Naf1.0PtOH2,2,0.4137363488786951,69.12298843661232,45.06078049755665
FORCED_Close0.0Pt_neb_img00,1,0.9766673008471116,68.76436847119182,44.09470150047821
Naf0.25PtOH2,6,6.050024564804623,73.55155240307317,43.99375451063589
solventbulk,1,7.973473376665652,70.2297956244735,43.87487246163432
Naf1.0PtOH,13,4.916788997100071,69.59757066024868,43.683021354609934
