idx,config_type,formula,natoms,dE_per_atom_meV,F_rmse_meV_A,F_ref_rms_meV_A,F_maxerr_meV_A,worst_atom_idx,worst_atom_sym,absdE,rel_F_pct
0,none,C400H112O56Pt43,611,-10.955832865940478,40.3583877039683,1286.260629161354,258.50763785395236,420,Pt,10.955832865940478,3.1376524157691192
1,none,C400H112O56Pt43,611,-11.67176589558401,71.68273102058544,1461.3186821290878,522.6540700099689,469,H,11.67176589558401,4.905345555162979
2,none,C400H112O56Pt43,611,-11.212774007101032,54.276407102534776,1333.0306263355565,459.09377763959435,597,H,11.212774007101032,4.071654921518065
3,none,C400H112O56Pt43,611,-10.944019353555275,40.003436857484324,1246.7083298767975,269.1010618615766,426,Pt,10.944019353555275,3.208724598915414
4,none,C400H22O11Pt21,454,-2.1810854367433845,64.12758478813826,1538.2925380067197,421.2126349762723,340,C,2.1810854367433845,4.1687509497532345
5,none,C400H22O11Pt21,454,-1.2781870033307872,109.26594474311328,1624.2590725092168,945.5717736686337,259,C,1.2781870033307872,6.727125407051913
6,none,C64H162O73,299,18.017136942652478,78.15125387928065,1015.7178534627283,410.4185853195652,61,C,18.017136942652478,7.694189248800913
7,none,C64H162O73,299,19.000950912921805,43.97203624051775,1087.6244663851535,190.38876472669392,173,O,19.000950912921805,4.042942909022996
8,none,C64H162O73,299,18.263988472508846,45.015489448707676,1173.919574189976,278.83540546565064,182,O,18.263988472508846,3.834631472072447
9,none,C9H95F19O52Pt64S,240,-7.152672297039923,65.09867594576338,193.0411098598017,429.0398067693878,102,F,7.152672297039923,33.72270082421409
10,none,C9H95F19O52Pt64S,240,-8.75363839744144,71.5255348723778,223.55384033258534,466.28954668661186,119,F,8.75363839744144,31.994769030121734
11,none,C9H95F19O52Pt64S,240,-9.123298158980711,69.64465747026055,234.30469237259706,485.98008972779024,104,F,9.123298158980711,29.723970427152143
12,none,C9H95F19O52Pt64S,240,-9.738560916957795,84.72178667646237,215.82786480362404,716.2142549500682,107,C,9.738560916957795,39.25433203611056
13,none,C9H97F19O56Pt64S,246,-9.574042702622794,60.959913679906606,259.6059561301907,529.5326765700014,98,F,9.574042702622794,23.481708427881987
14,none,C9H97F19O56Pt64S,246,-9.574042680262535,60.95991367990638,259.6059561301907,529.5326765700034,98,F,9.574042680262535,23.4817084278819
15,none,C9H97F19O56Pt64S,246,-9.783329206000165,65.28358172641413,225.79339661684503,456.7026648576087,122,F,9.783329206000165,28.91297208181673
16,none,C9H97F19O56Pt64S,246,-8.995490116247058,75.56371087149581,297.95380232475,468.2305932764174,105,F,8.995490116247058,25.360881546709162
17,none,C9H97F19O56Pt64S,246,-8.26398747319136,75.39878421417419,241.86010317635487,421.2934620789774,106,F,8.26398747319136,31.174543971477743
18,none,C9H97F19O56Pt64S,246,-8.674785389510037,67.58316896683087,197.3473094287613,443.2781589075328,115,F,8.674785389510037,34.24580206462208
19,none,C9H97F19O56Pt64S,246,-7.354350740703323,64.85733216011403,269.3104843357795,472.8179512684357,119,F,7.354350740703323,24.082735701907964
20,none,C9H96F19O56Pt64S,245,-12.059819827934879,71.75765505635893,234.72577033946598,525.7496416968238,110,F,12.059819827934879,30.57084654683689
21,none,C9H96F19O56Pt64S,245,-8.966477109090786,75.57109269545424,217.62935539620958,544.9075978063022,97,F,8.966477109090786,34.724677908396934
22,none,C9H96F19O56Pt64S,245,-9.808132144128333,68.45798537192174,226.0297274079838,547.729534399846,108,F,9.808132144128333,30.287160081538758
23,none,C9H95F19O56Pt64S,244,-10.643563032928915,69.55360396339707,229.10612036098965,464.0086087564599,110,F,10.643563032928915,30.358684374649336
24,none,C9H95F19O56Pt64S,244,-11.227792608775923,104.72139705788544,235.2789367101354,1291.4212906684854,58,Pt,11.227792608775923,44.50946545499848
25,none,C9H95F19O56Pt64S,244,-9.994438203857051,69.77376739939182,257.4709213508402,464.5369366895757,122,F,9.994438203857051,27.099668977497966
26,none,C9H95F19O56Pt64S,244,-7.666488641707922,61.12760221409102,197.67283792451803,400.29747483284973,100,F,7.666488641707922,30.923622514810447
27,none,C9H95F19O56Pt64S,244,-11.072089316153548,64.31954335120494,197.24118058846153,416.8954067851646,110,F,11.072089316153548,32.60959154640529
28,none,C9H95F19O58Pt64S,246,-9.778639122184055,69.67275686163583,199.89760367561632,483.03117499335485,119,F,9.778639122184055,34.85422315251825
29,none,C9H97F19O58Pt64S,248,-9.288353011206416,71.45538380409883,203.0868017665446,516.7166249736016,110,F,9.288353011206416,35.1846516772859
30,none,C9H96F19O58Pt64S,247,-9.816907237610037,72.747192369231,307.12771414431046,509.08931108527935,68,O,9.816907237610037,23.68630019987359
31,none,C9H96F19O58Pt64S,247,-13.44865533501581,114.99074834192936,225.30942741300785,1335.9311945375084,113,C,13.44865533501581,51.03681175805543
32,none,C9H95F19O58Pt64S,246,-5.458586342558,98.61673332474754,291.6944605202576,538.6675358694409,63,Pt,5.458586342558,33.808229730814105
33,none,C9H95F19O58Pt64S,246,-8.018451375835689,86.61689727020703,207.9637728137607,896.0945838830397,56,Pt,8.018451375835689,41.649993216739574
34,none,C9H95F19O58Pt64S,246,-7.401210389254289,68.13502114261853,196.36050255961578,554.3681999358633,112,F,7.401210389254289,34.69894416364741
35,none,C9H95F19O58Pt64S,246,-8.783815195783973,67.65204698488076,195.0471195871186,560.0172618281418,112,F,8.783815195783973,34.68497618836339
36,none,C9H95F19O58Pt64S,246,-9.764531535608505,74.2748278285805,265.85613837781796,515.5767849088343,110,F,9.764531535608505,27.937977389495444
37,none,C9H95F19O58Pt64S,246,-11.628093198060089,83.03278930204573,271.29946413170194,615.5477671041908,115,F,11.628093198060089,30.605585443300978
38,none,C9H95F19O58Pt64S,246,-12.06927273502456,88.23480747433848,270.7988330494261,565.8579150161049,117,F,12.06927273502456,32.58315646368901
39,none,C9H95F19O58Pt64S,246,-9.805387573844822,66.74277475338876,241.12912186700856,453.8039247009519,101,F,9.805387573844822,27.679267537912658
40,none,C9H95F19O64Pt64S,252,-12.41510216422039,67.91586302005088,255.48144238806964,470.2935571313898,122,F,12.41510216422039,26.583481909769578
41,none,C9H95F19O64Pt64S,252,-12.231930318294973,78.21650300886074,264.77282624183476,475.9280583058804,130,F,12.231930318294973,29.540985802455562
42,none,C9H97F19O64Pt64S,254,-12.326837188699907,73.07840419031807,294.529846251273,479.5619226995121,118,F,12.326837188699907,24.811884133458076
