config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
2pttop,1,7.284926128477309,70.7857274443004,8.11888025540749
2pttopoh,1,4.623852986469501,63.94038876296132,18.077315656916983
5PtGraph_sol_initial,4,14.402109869538291,55.00012446679968,4.122094657639726
6PthemGraph_sol_initial,2,9.97030132050153,87.8353832405909,5.552665151339437
Chair4x4sat_sol_initial,4,4.425399559283166,60.22652036159157,5.6405695831642255
Close0.0Pt,7,6.9894235594972125,74.88593719159299,37.10308893088542
Close0.25Pt,6,8.262937727488811,67.29258504945825,30.57593093717464
Close0.25PtO,6,7.9794060878793855,79.28477459333352,31.320024601283407
Close0.25PtOH,6,8.905849882481164,71.67416932915711,30.68635783945961
Close0.25PtOH2,9,7.347835997960057,70.46960412439392,28.585818766675356
Close0.375Pt,5,9.530227095613192,78.974078409246,30.875233965165332
Close0.375PtO,7,7.060722824269807,77.48635990136023,29.150447783329636
Close0.375PtO2,8,9.33527143001897,74.40203820356075,31.23715796144863
Close0.375PtOH,2,9.926680091320797,99.0726871642916,36.78303409641689
Close0.375PtOH2,4,9.078980175623585,72.0813491094285,17.93349905784074
Close0.75Pt,7,7.983750814833672,71.69052702332888,25.451244301885676
Close0.75PtO,6,7.267282473754426,77.20347800766127,24.626795722699804
Close0.75PtO2,5,10.637599527194658,74.00255782471821,15.806278081406157
Close0.75PtOH,7,7.558041357815454,77.72528481700293,26.750126415778915
Close0.75PtOH2,8,8.491716080826174,98.98081909141192,34.02905753157706
DissolvedO2_Nafion,9,12.418529352971358,65.24868534676193,35.805804022139505
DissolvedOH_Nafion,19,9.516292496009967,63.9832476335891,48.80714785549939
Dry0.0Pt,15,11.739803775937462,27.933967680823002,17.739113264028052
Dry0.25Pt,17,17.066690553618,32.66202069890937,13.846108234121022
Dry0.25PtO,6,21.596646788590093,38.63863655441268,13.309405571682344
Dry0.25PtO2,5,16.71577979414754,72.52104373634371,26.132727774473153
Dry0.25PtOH,9,18.443789946655656,35.37717433722381,10.231012358170958
Dry0.25PtOH2,5,17.049856606294014,58.682464702043234,7.4140690692032365
Dry0.375Pt,4,17.482531760104358,51.690210141072185,13.448530902837216
Dry0.375PtO,5,21.251350650104335,34.112987935746105,9.046647399749908
Dry0.375PtO2,3,18.360080561274955,39.70036026424835,11.596105996770628
Dry0.375PtOH,10,18.25326807402804,31.239137842851715,7.541166637208865
Dry0.375PtOH2,4,20.69930597336073,43.381498481527345,12.234188115929431
Dry0.75Pt,6,17.835784020227422,44.541374100225134,13.336073271778902
Dry0.75PtO,4,23.10853515356687,46.5502232546949,13.735479915025646
Dry0.75PtO2,1,19.817762300135655,32.01655641530784,9.618446452602061
Dry0.75PtOH,7,19.613610311292526,46.570950497714996,12.383981735562191
Dry0.75PtOH2,2,16.62227621465263,61.931078756812745,19.189186699330683
Dry1.0Pt,3,26.411065290899465,54.181792253723046,16.709603821489253
Dry1.0PtO,5,27.89249308111826,69.98389142975162,18.63243530690403
Dry1.0PtO2,6,28.745058804874176,62.17117899786652,15.060462873289593
Dry1.0PtOH,1,21.96457607760749,44.43674488873771,12.830140250941861
Dry1.0PtOH2,6,25.211790879219187,75.99845555319754,18.61620808814553
