config_type,n,rel_F_RMSE_pct,mean_meV_A,median_meV_A,p90_meV_A,p95_meV_A,max_meV_A,shape_guess
2pttop,1,8.11888025540749,70.7857274443004,70.7857274443004,70.7857274443004,70.7857274443004,70.7857274443004,broad/smooth
2pttopoh,1,18.077315656916983,63.94038876296132,63.94038876296132,63.94038876296132,63.94038876296132,63.94038876296132,broad/smooth
5PtGraph_sol_initial,4,3.9599272694090817,53.31906404422064,48.95602277576826,68.81690188707738,71.57326961032457,74.32963733357178,broad/smooth
6PthemGraph_sol_initial,2,5.327995161507338,84.80935164321787,84.80935164321787,103.09470618290993,105.38037550037144,107.66604481783295,broad/smooth
Chair4x4sat_sol_initial,4,5.553063690663779,58.17256766281911,52.893397744892546,76.07588518942795,79.4549569686559,82.83402874788388,broad/smooth
Close0.0Pt,7,37.6470042633495,74.46514025894501,72.55754475597959,84.5517653659392,86.22357461459534,87.89538386325147,broad/smooth
Close0.25Pt,6,30.777047136804836,67.15381255281493,67.52483893270231,71.8835839782744,72.58101760283346,73.27845122739251,broad/smooth
Close0.25PtO,6,33.95553005251917,78.57453099933896,76.06995844801779,89.37311889919494,95.33169625983383,101.29027362047273,broad/smooth
Close0.25PtOH,6,31.155290382834625,71.5614619399147,70.98315489864943,76.54048900911876,77.04922309178116,77.55795717444357,broad/smooth
Close0.25PtOH2,9,29.128121604687855,70.21066538326093,70.40666665892205,77.59178961261969,77.77456627481497,77.95734293701025,broad/smooth
Close0.375Pt,5,30.74014918693432,78.50330472198922,75.60637508098444,89.01172699993792,90.71394106286543,92.41615512579294,broad/smooth
Close0.375PtO,7,31.93663072184136,76.5168736452714,69.57369564634676,93.90445316973931,97.4819424081932,101.05943164664711,broad/smooth
Close0.375PtO2,8,33.18746942008327,73.44938174033277,71.96482804921641,85.91101881366352,93.26798688014622,100.62495494662896,broad/smooth
Close0.375PtOH,2,38.473065543296975,96.67428053637602,96.67428053637602,114.00828549269528,116.17503611223518,118.34178673177509,broad/smooth
Close0.375PtOH2,4,25.495351530902656,71.8042485004104,71.79037255320372,78.11709884217944,79.43146457210705,80.74583030203466,broad/smooth
Close0.75Pt,7,26.10282339295686,71.46089655059941,71.61244445924714,77.98231258437723,79.32417308894674,80.66603359351626,broad/smooth
Close0.75PtO,6,25.06046653890094,77.0804947937795,74.45216604303282,83.19268151372319,83.4585104307572,83.72433934779122,broad/smooth
Close0.75PtO2,5,24.81985699545361,73.89141547201717,76.38877667389296,77.68432433904496,77.94231366324013,78.20030298743531,broad/smooth
Close0.75PtOH,7,27.70435220752616,77.21053565899261,74.1717210637664,88.22122055816459,91.66704073321809,95.1128609082716,broad/smooth
Close0.75PtOH2,8,30.94109753140478,90.3922239814647,70.36668197694303,133.33593642830309,162.5023041225045,191.668671816706,broad/smooth
DissolvedO2_Nafion,9,66.10333035353334,64.86696299939061,65.36088412522163,73.59824932125441,75.38523185894391,77.17221439663341,broad/smooth
DissolvedOH_Nafion,19,69.97868156663763,63.2678582358579,64.24337287193077,76.8916191533107,77.52247299203776,78.46143725681083,broad/smooth
Dry0.0Pt,15,17.937574468687785,25.667771439337933,21.47020045781599,35.112971509932315,43.29933512759751,61.07571752537867,broad/smooth
Dry0.25Pt,17,14.01819331438586,30.655576228849696,26.64587164834296,44.37762242811735,49.080854778798226,57.379322077618994,broad/smooth
Dry0.25PtO,6,14.063239422662223,37.360773991178235,36.2581478842998,48.518218764105114,52.478033834688155,56.437848905271196,broad/smooth
Dry0.25PtO2,5,22.967852436359255,63.99107650440444,47.928736680313946,101.73467174500712,116.4216846602512,131.1086975754953,broad/smooth
Dry0.25PtOH,9,10.542303289912603,33.702218011862435,28.065020734405543,46.62699519962953,53.47293785891924,60.31888051820896,broad/smooth
Dry0.25PtOH2,5,17.1413227936539,54.85550334954242,51.83591435261455,77.52976382693016,86.09409230851816,94.65842079010615,broad/smooth
Dry0.375Pt,4,12.948532494342096,49.415093224660566,44.67063467636741,66.70379439858948,70.2260069738474,73.74821954910534,broad/smooth
Dry0.375PtO,5,8.905015649947114,33.54155921921235,30.77558563048632,41.18521025003686,42.76177196940203,44.3383336887672,broad/smooth
Dry0.375PtO2,3,11.383390131020922,39.08065619796616,38.05919936822842,46.09429849121735,47.09868588159097,48.10307327196458,broad/smooth
Dry0.375PtOH,10,7.492845173562854,30.141577040680108,26.740696457120663,41.67584395859714,46.11039294015207,50.544941921707014,broad/smooth
Dry0.375PtOH2,4,12.495796588447826,43.30617059498808,43.22017034916066,45.97572215354081,46.07012563407015,46.16452911459949,broad/smooth
Dry0.75Pt,6,13.093231567040576,43.50716859234887,40.31270010436343,54.19340467768245,58.93961674401886,63.68582881035527,broad/smooth
Dry0.75PtO,4,13.53433398187638,45.224744374789736,46.246055485574445,56.635289535612245,57.66971494089501,58.70414034617778,broad/smooth
Dry0.75PtO2,1,9.618446452602061,32.01655641530784,32.01655641530784,32.01655641530784,32.01655641530784,32.01655641530784,broad/smooth
Dry0.75PtOH,7,12.519518848122924,43.7939182192689,40.60731093668776,59.4922899473987,69.87191299993532,80.251536052472,broad/smooth
Dry0.75PtOH2,2,18.638652051492834,59.9987310010199,59.9987310010199,72.58795720072354,74.1616104756865,75.73526375064945,broad/smooth
Dry1.0Pt,3,16.642263148126506,53.983574633671715,57.08919668205734,57.356586419091336,57.39001013622058,57.423433853349835,broad/smooth
Dry1.0PtO,5,15.63693332445906,58.672792323299994,41.49822068237642,97.92975376063981,116.34306029185099,134.7563668230622,broad/smooth
Dry1.0PtO2,6,15.408226786747734,58.64748734840409,51.12618384070758,81.72907150851292,91.77396770793652,101.81886390736014,broad/smooth
Dry1.0PtOH,1,12.830140250941861,44.43674488873771,44.43674488873771,44.43674488873771,44.43674488873771,44.43674488873771,broad/smooth
Dry1.0PtOH2,6,19.090636820451085,70.57777798053587,52.41547840342261,108.373962395638,116.10242475905444,123.83088712247088,broad/smooth
FORCED_5PtGraph_sol,1,40.26822432679657,63.61579353335295,63.61579353335295,63.61579353335295,63.61579353335295,63.61579353335295,broad/smooth
FORCED_6PthemGraph_sol,1,11.978882193655524,37.19948359394397,37.19948359394397,37.19948359394397,37.19948359394397,37.19948359394397,broad/smooth
FORCED_7PtGraph_sol,1,21.002550565179984,41.38649688447536,41.38649688447536,41.38649688447536,41.38649688447536,41.38649688447536,broad/smooth
FORCED_Chair4x4,1,100.01755066277637,249.72526871791848,249.72526871791848,249.72526871791848,249.72526871791848,249.72526871791848,broad/smooth
FORCED_Chair4x4_sol,1,97.07553882073367,228.51783367540366,228.51783367540366,228.51783367540366,228.51783367540366,228.51783367540366,broad/smooth
FORCED_Chair4x4sat,1,5.263239630853359,17.42270381242902,17.42270381242902,17.42270381242902,17.42270381242902,17.42270381242902,broad/smooth
FORCED_Chair4x4sat_sol,1,19.37111075248854,44.99343406400513,44.99343406400513,44.99343406400513,44.99343406400513,44.99343406400513,broad/smooth
FORCED_Clo0.375Neb7,1,30.746531296808488,67.97042562449384,67.97042562449384,67.97042562449384,67.97042562449384,67.97042562449384,broad/smooth
FORCED_Clo0.375neb5,1,39.625737763185775,95.02192722246407,95.02192722246407,95.02192722246407,95.02192722246407,95.02192722246407,broad/smooth
FORCED_Clo0.75Neb9,1,28.4642517582884,67.81581040005639,67.81581040005639,67.81581040005639,67.81581040005639,67.81581040005639,broad/smooth
FORCED_Close0.0Pt_neb_img00,1,44.69850474571158,69.70598157722178,69.70598157722178,69.70598157722178,69.70598157722178,69.70598157722178,broad/smooth
FORCED_Close0.0Pt_neb_img05,1,37.09835862227937,77.8832503172607,77.8832503172607,77.8832503172607,77.8832503172607,77.8832503172607,broad/smooth
FORCED_Close0.25PtOH2_neb_img00,1,36.738018844332686,68.52585879339814,68.52585879339814,68.52585879339814,68.52585879339814,68.52585879339814,broad/smooth
FORCED_Close0.25PtOH_neb_img00,1,33.598640338423955,67.13651647259047,67.13651647259047,67.13651647259047,67.13651647259047,67.13651647259047,broad/smooth
FORCED_Close0.25PtOH_neb_img06,1,17.977580845212298,74.8245255358348,74.8245255358348,74.8245255358348,74.8245255358348,74.8245255358348,broad/smooth
FORCED_Close0.25PtOH_neb_img10,1,36.06145244882638,78.75277555113284,78.75277555113284,78.75277555113284,78.75277555113284,78.75277555113284,broad/smooth
FORCED_Close0.25PtO_neb_img00,1,33.67886238503269,66.90421198033118,66.90421198033118,66.90421198033118,66.90421198033118,66.90421198033118,broad/smooth
FORCED_Close0.25PtO_neb_img08,1,27.657970469438276,74.25811790980613,74.25811790980613,74.25811790980613,74.25811790980613,74.25811790980613,broad/smooth
FORCED_Close0.25PtO_neb_img09,1,14.713123909763635,74.69083943360584,74.69083943360584,74.69083943360584,74.69083943360584,74.69083943360584,broad/smooth
