config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
5PtGraph_sol_initial,1,10.032652476752446,54.27621685317401,4.071640649575846
A8_CSIRO_initial,1,15.502074560430401,477.8710382597505,30.02866429521619
Bulk_wet_Pt,25,7.819120636948215,62.671421760836274,10.305151250653932
Graph_initial,1,5.966889848991741,70.84598282206471,4.185907953880173
Naf-Naf,48,7.568697325369051,84.31548902504571,14.110277832587746
Naf-Naf_Pt,87,9.714126895858787,75.59831511651912,18.24351963395091
PtHemGraph20*10_initial,1,1.4074645350774517,90.52675766176637,5.195529873267654
PtOso3_chair_initial,1,5.747094610796921,284.8622156262041,17.473994429592125
Pt_Nafion,184,10.343175079903384,105.8935979833114,16.74935389975232
Pt_diss_Wet,7,5.370892986331541,52.41521089273378,37.68737226861609
Pt_water,42,8.982305411801137,102.71507917279982,11.157132669540607
Ptparticle_oxi_so3_chari_initial,1,8.568561153651899,243.31865627601763,17.312951572819955
full_cross_15_initial,1,5.45257734529514,122.22347804268405,9.929782816477335
