config_type,n,rel_F_RMSE_pct,mean_meV_A,median_meV_A,p90_meV_A,p95_meV_A,max_meV_A,shape_guess
5PtGraph_sol_initial,1,4.071640649575846,54.27621685317401,54.27621685317401,54.27621685317401,54.27621685317401,54.27621685317401,broad/smooth
A8_CSIRO_initial,1,30.02866429521619,477.8710382597505,477.8710382597505,477.8710382597505,477.8710382597505,477.8710382597505,broad/smooth
Bulk_wet_Pt,25,10.187743885896406,61.294689977063065,64.89313539453926,77.32206923710943,78.71578676841806,81.04465540384908,broad/smooth
Graph_initial,1,4.185907953880173,70.84598282206471,70.84598282206471,70.84598282206471,70.84598282206471,70.84598282206471,broad/smooth
Naf-Naf,48,15.838841426765839,83.6827592383122,85.2496950576602,92.62885535178661,92.97905204035864,97.35769166114129,broad/smooth
Naf-Naf_Pt,87,44.12079236207085,74.88663094025728,78.14003699560385,85.75311328828244,87.01015462863346,93.00902531405947,broad/smooth
PtHemGraph20*10_initial,1,5.195529873267654,90.52675766176637,90.52675766176637,90.52675766176637,90.52675766176637,90.52675766176637,broad/smooth
PtOso3_chair_initial,1,17.473994429592125,284.8622156262041,284.8622156262041,284.8622156262041,284.8622156262041,284.8622156262041,broad/smooth
Pt_Nafion,184,27.177339968465137,99.42951214145096,89.1789354528128,140.38431525744087,164.47574575561612,364.37201312956125,long tail (few outliers)
Pt_diss_Wet,7,45.37122258714986,51.46216292105588,49.287129200732274,62.556021369915854,67.68071688248891,72.80541239506199,broad/smooth
Pt_water,42,16.003508801151618,91.28944088352489,78.37050477823189,159.5952272919971,191.8267136088756,223.06667486620785,broad/smooth
Ptparticle_oxi_so3_chari_initial,1,17.312951572819955,243.31865627601763,243.31865627601763,243.31865627601763,243.31865627601763,243.31865627601763,broad/smooth
full_cross_15_initial,1,9.929782816477335,122.22347804268405,122.22347804268405,122.22347804268405,122.22347804268405,122.22347804268405,broad/smooth
