config_type,n,rel_F_RMSE_pct,mean_meV_A,median_meV_A,p90_meV_A,p95_meV_A,max_meV_A,shape_guess
mptrj_pt,9,5650.996037403079,60.33173750890122,65.38828441762044,127.08779579329577,135.16137517525024,143.23495455720473,broad/smooth
pt_particle_optimised_structure,1,1687.2124411401549,11.343279472212002,11.343279472212002,11.343279472212002,11.343279472212002,11.343279472212002,broad/smooth
ptohdiss_optimised_structure,1,217.75075923005582,44.42914862156441,44.42914862156441,44.42914862156441,44.42914862156441,44.42914862156441,broad/smooth
ptodiss_optimised_structure,1,142.45047776459526,55.363746897403786,55.363746897403786,55.363746897403786,55.363746897403786,55.363746897403786,broad/smooth
pto2diss_optimised_structure,1,106.97025748993887,52.763801365782285,52.763801365782285,52.763801365782285,52.763801365782285,52.763801365782285,broad/smooth
FORCED_Chair4x4,1,100.01759622290379,249.72538247310428,249.72538247310428,249.72538247310428,249.72538247310428,249.72538247310428,broad/smooth
pt3o4,1,99.94410795389483,79.295380457186,79.295380457186,79.295380457186,79.295380457186,79.295380457186,broad/smooth
FORCED_Chair4x4_sol,1,97.07550812606262,228.51776141951075,228.51776141951075,228.51776141951075,228.51776141951075,228.51776141951075,broad/smooth
ptclosenaf0.375_optimised_structure,1,84.28481126001347,64.64797904423676,64.64797904423676,64.64797904423676,64.64797904423676,64.64797904423676,broad/smooth
FORCED_Graphmono4x4x2,1,83.48365577471637,135.0174863105731,135.0174863105731,135.0174863105731,135.0174863105731,135.0174863105731,broad/smooth
finalo2v_optimised_structure,1,73.37997762859901,57.09616036060304,57.09616036060304,57.09616036060304,57.09616036060304,57.09616036060304,broad/smooth
simple_naf_optimised_structure,1,71.7979633903015,123.68915247224312,123.68915247224312,123.68915247224312,123.68915247224312,123.68915247224312,broad/smooth
DissolvedOH_Nafion,19,69.97867193799071,63.26785097234105,64.24337452002186,76.89163741935162,77.52248357365697,78.46139236163498,broad/smooth
FORCED_Naf0.25PtOH_neb_img00,1,69.67452297427822,75.42756314572101,75.42756314572101,75.42756314572101,75.42756314572101,75.42756314572101,broad/smooth
ptn0.75_optimised_structure,1,69.208056202777,70.29275524810427,70.29275524810427,70.29275524810427,70.29275524810427,70.29275524810427,broad/smooth
FORCED_Naf0.375PtO2_neb_img00,1,66.8510517652525,70.00471121397611,70.00471121397611,70.00471121397611,70.00471121397611,70.00471121397611,broad/smooth
FORCED_Naf0.375PtOH_neb_img00,1,66.63640791193268,72.76628240512534,72.76628240512534,72.76628240512534,72.76628240512534,72.76628240512534,broad/smooth
FORCED_Naf0.25PtOH2_neb_img00,1,66.61446084440647,68.1423379668242,68.1423379668242,68.1423379668242,68.1423379668242,68.1423379668242,broad/smooth
inputoh2_optimised_structure,1,66.38807381966387,56.734416648629065,56.734416648629065,56.734416648629065,56.734416648629065,56.734416648629065,broad/smooth
DissolvedO2_Nafion,9,66.103336314528,64.86697732956738,65.36093188071179,73.59826978154335,75.38521296844152,77.17215615533969,broad/smooth
FORCED_Close0.375PtOH2_neb_img05,1,64.80659453760391,167.42701311312666,167.42701311312666,167.42701311312666,167.42701311312666,167.42701311312666,broad/smooth
finoh0.75_optimised_structure,1,64.51184433768475,68.50394534570883,68.50394534570883,68.50394534570883,68.50394534570883,68.50394534570883,broad/smooth
FORCED_Naf0.75PtO2_neb_img00,1,64.2451068740984,73.1456058270439,73.1456058270439,73.1456058270439,73.1456058270439,73.1456058270439,broad/smooth
FORCED_Naf0.75PtOH_neb_img00,1,63.40542019445507,73.56473715827087,73.56473715827087,73.56473715827087,73.56473715827087,73.56473715827087,broad/smooth
inputvoh_optimised_structure,1,62.40279087557568,52.78125129483851,52.78125129483851,52.78125129483851,52.78125129483851,52.78125129483851,broad/smooth
finoh2v_optimised_structure,1,62.11774545478079,58.75989952573646,58.75989952573646,58.75989952573646,58.75989952573646,58.75989952573646,broad/smooth
FORCED_Naf0.75PtOH2_neb_img00,1,62.10478716682354,70.8641116689419,70.8641116689419,70.8641116689419,70.8641116689419,70.8641116689419,broad/smooth
finohv_optimised_structure,1,61.94911638033908,57.064645789649695,57.064645789649695,57.064645789649695,57.064645789649695,57.064645789649695,broad/smooth
ptclosenaf1.0_optimised_structure,1,61.74697805478601,72.17634007167096,72.17634007167096,72.17634007167096,72.17634007167096,72.17634007167096,broad/smooth
ptnoh_optimised_structure,1,61.527788471014006,60.22870583127403,60.22870583127403,60.22870583127403,60.22870583127403,60.22870583127403,broad/smooth
inoh0.75_optimised_structure,1,60.58991930217563,67.16556345038786,67.16556345038786,67.16556345038786,67.16556345038786,67.16556345038786,broad/smooth
finv0.75_optimised_structure,1,59.96306366943507,68.6222256342631,68.6222256342631,68.6222256342631,68.6222256342631,68.6222256342631,broad/smooth
Naf0.375Pt,8,58.03861178836012,70.42856808299858,71.43360492620553,73.97303880734609,74.18252522064995,74.39201163395381,broad/smooth
ptnohv_optimised_structure,1,57.75511047331006,66.87981668483418,66.87981668483418,66.87981668483418,66.87981668483418,66.87981668483418,broad/smooth
finoh20.75_optimised_structure,1,56.08718770771035,64.1630286353485,64.1630286353485,64.1630286353485,64.1630286353485,64.1630286353485,broad/smooth
Naf0.0Pt,6,56.038230033790846,74.92005461363803,71.77566034952682,87.14696226527403,87.61073463146282,88.07450699765161,broad/smooth
FORCED_Naf0.75Pt_neb_img06,1,55.8570762612262,73.21589714499933,73.21589714499933,73.21589714499933,73.21589714499933,73.21589714499933,broad/smooth
Naf0.375PtOH2,9,55.81031036909774,76.81865465675345,73.1520902248447,83.11614960418737,97.95842778307758,112.80070596196784,broad/smooth
FORCED_Nafion_single_dry,1,55.64741745850467,132.22418384463683,132.22418384463683,132.22418384463683,132.22418384463683,132.22418384463683,broad/smooth
FORCED_Nafion_single_dry_neb_img11,1,55.64711029034413,132.22180849389872,132.22180849389872,132.22180849389872,132.22180849389872,132.22180849389872,broad/smooth
FORCED_Nafion_four_dry_neb_img11,1,55.633527791104775,135.16795538867234,135.16795538867234,135.16795538867234,135.16795538867234,135.16795538867234,broad/smooth
FORCED_Nafion_four_dry,1,55.63295186946516,135.16686947490564,135.16686947490564,135.16686947490564,135.16686947490564,135.16686947490564,broad/smooth
FORCED_Naf0.375PtOH_neb_img10,1,55.15861729468748,68.74495343761183,68.74495343761183,68.74495343761183,68.74495343761183,68.74495343761183,broad/smooth
Naf0.25PtOH,3,55.07115276390647,69.0551557451234,68.53282178656768,71.60237084676763,71.98606447929262,72.36975811181762,broad/smooth
bot_dryo.375_pos_1,10,54.120954016533645,63.206477856624666,64.45538162130745,70.19854142417329,70.68275313472148,71.16696484526967,broad/smooth
Naf0.375PtO2,11,54.0997380103008,68.53460912752843,67.41540311833394,72.11567286119814,75.43659633333661,78.75751980547507,broad/smooth
Naf0.375PtO,5,53.63169604068954,89.5264320729805,81.16637995814081,107.31566951631201,108.03168056276195,108.74769160921188,broad/smooth
inoh20.75_optimised_structure,1,53.423465871468906,66.30385613276343,66.30385613276343,66.30385613276343,66.30385613276343,66.30385613276343,broad/smooth
FORCED_Pt_particle_6_2,1,51.65237973950055,134.92473651274406,134.92473651274406,134.92473651274406,134.92473651274406,134.92473651274406,broad/smooth
finalv_optimised_structure,1,51.60573041321541,69.33237435823078,69.33237435823078,69.33237435823078,69.33237435823078,69.33237435823078,broad/smooth
FORCED_Naf0.375PtOH_neb_img08,1,49.89033979806507,77.71102886446131,77.71102886446131,77.71102886446131,77.71102886446131,77.71102886446131,broad/smooth
Naf1.0Pt,12,47.93625959610833,76.8218309944611,73.22857702524419,92.36791534644651,99.32769679025498,106.15811834077823,broad/smooth
FORCED_Naf0.75PtOH2_neb_img08,1,47.31830603943433,76.84518102715644,76.84518102715644,76.84518102715644,76.84518102715644,76.84518102715644,broad/smooth
Naf1.0PtO2,12,46.666217703988025,70.84189173430867,69.80938341749481,73.26725351773149,77.16171738104305,81.72878487787796,broad/smooth
Naf0.25PtO,8,46.4097995293755,70.84319929796163,70.54170874514537,74.239701290889,76.24538317149795,78.2510650521069,broad/smooth
Naf0.25PtOH2,6,46.039334121863476,72.71930008137005,72.5851782506437,76.23990147643362,76.95168296865904,77.66346446088446,broad/smooth
Naf0.25Pt,4,45.72886616118876,79.95676724557211,77.45515313239254,84.60133896183022,86.11894127299931,87.6365435841684,broad/smooth
ptn1.0_optimised_structure,1,45.10987650816374,69.93019824865866,69.93019824865866,69.93019824865866,69.93019824865866,69.93019824865866,broad/smooth
FORCED_Naf1.0PtOH2,1,45.08114798344017,61.71271865360238,61.71271865360238,61.71271865360238,61.71271865360238,61.71271865360238,broad/smooth
Naf1.0PtOH2,2,44.91309061354755,68.50818857649814,68.50818857649814,73.94452279616587,74.62406457362434,75.3036063510828,broad/smooth
FORCED_Close0.0Pt_neb_img00,1,44.69852888744888,69.70601922553921,69.70601922553921,69.70601922553921,69.70601922553921,69.70601922553921,broad/smooth
solventbulk,1,44.66048025847503,71.48730526307955,71.48730526307955,71.48730526307955,71.48730526307955,71.48730526307955,broad/smooth
