config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
2pttop,1,6.969905967252998,70.78552726251682,8.118857295243219
2pttopoh,1,4.623852986469501,63.94037742585344,18.07731245167407
5PtGraph_sol_initial,4,14.402109869538291,55.00010534373593,4.122093224423354
6PthemGraph_sol_initial,2,9.97030132050153,87.83538426919341,5.552665216364319
Chair4x4sat_sol_initial,4,4.402088918203819,60.22652970747976,5.640570458461892
Close0.0Pt,7,6.958727828529248,74.88592752032795,37.10308413914721
Close0.25Pt,6,8.43584713384025,67.29261026584611,30.575942394819382
Close0.25PtO,6,8.352600199516443,79.28473390655293,31.32000852870231
Close0.25PtOH,6,8.461393423680752,71.67415583382771,30.686352061610894
Close0.25PtOH2,9,7.514795372716346,70.46958841075192,28.585812392475752
Close0.375Pt,5,9.559207647864499,78.97405851534334,30.875226187563985
Close0.375PtO,7,7.051107319955448,77.48636519828,29.150449776036268
Close0.375PtO2,8,9.038741535253557,74.40200720648222,31.237144947549258
Close0.375PtOH,2,9.926680091320797,99.07267761686276,36.783030551712386
Close0.375PtOH2,4,8.675303050370397,72.08135165009392,17.933499689946295
Close0.75Pt,7,7.921313941556119,71.69051152781822,25.45123880074007
Close0.75PtO,6,7.380982726753242,77.20349898790604,24.626802415095217
Close0.75PtO2,5,10.49835822271018,74.002563398661,15.806279271950006
Close0.75PtOH,7,7.651506145496031,77.72527556965267,26.750123233187956
Close0.75PtOH2,8,8.56115348898445,98.98080848414519,34.0290538848575
DissolvedO2_Nafion,9,12.4313202128082,65.24867003465802,35.80579561948451
DissolvedOH_Nafion,19,9.493488628424792,63.983236594691085,48.80713943490263
Dry0.0Pt,15,11.739803775937462,27.933973384258977,17.739116885923014
Dry0.25Pt,17,16.996037306933978,32.66203821496955,13.846115659542347
Dry0.25PtO,6,21.596646788590093,38.63855697280114,13.309378159122314
Dry0.25PtO2,5,16.466434750006282,72.52101195074182,26.132716320632472
Dry0.25PtOH,9,18.29035086354762,35.377108313212304,10.230993264150863
Dry0.25PtOH2,5,17.03752549219976,58.682533915274966,7.41407781375211
Dry0.375Pt,4,17.482531760104358,51.690198667195894,13.448527917614687
Dry0.375PtO,5,21.123584518583403,34.11301195803082,9.046653770377423
Dry0.375PtO2,3,18.42936950059328,39.70048205793575,11.596141571573963
Dry0.375PtOH,10,18.114083975854896,31.23914813037339,7.5411691206293625
Dry0.375PtOH2,4,21.138127297807518,43.38149557917275,12.234187297424922
Dry0.75Pt,6,18.059724490481337,44.54137484399673,13.336073494470558
Dry0.75PtO,4,22.980433156609305,46.55029193272004,13.735500179711162
Dry0.75PtO2,1,19.817762300135655,32.01658700332007,9.618455641883818
Dry0.75PtOH,8,18.712205819615136,123.10210159900154,32.626966217392855
Dry0.75PtOH2,2,16.52349103721279,61.931053135919264,19.189178760762225
Dry1.0Pt,3,26.006975015848525,54.18177225798502,16.70959765482612
Dry1.0PtO,5,27.557460590925132,69.98390237222084,18.632438220215157
Dry1.0PtO2,6,29.13117438394554,62.17118838972754,15.0604651483916
Dry1.0PtOH,1,21.96457607760749,44.43679083160925,12.830153515943312
Dry1.0PtOH2,6,25.40970003570293,75.99843675613411,18.61620348370927
FORCED_5PtGraph_sol,1,11.40303055530012,63.615755872154345,40.26820048759706
FORCED_6PthemGraph_sol,1,9.214699818301142,37.19949033238708,11.978884363551673
FORCED_7PtGraph_sol,1,7.309905122724558,41.38652627891626,21.00256548207988
FORCED_Chair4x4,1,10.83196533267028,249.7253151263603,100.01756924983688
FORCED_Chair4x4_sol,1,8.706693864667159,228.5178325751444,97.07553835333796
FORCED_Chair4x4sat,1,20.55005881484817,17.422665096846636,5.263227935229664
FORCED_Chair4x4sat_sol,1,4.4325326473426685,44.993446823526426,19.371116245870084
FORCED_Clo0.375Neb7,1,0.8551219463015514,67.9705255320076,30.74657649013294
FORCED_Clo0.375neb5,1,10.589517319658626,95.02197251556491,39.625756651168665
FORCED_Clo0.75Neb9,1,6.196751442871573,67.81582459758438,28.464257717400418
FORCED_Close0.0Pt_neb_img00,1,5.078229801029011,69.70595123571947,44.6984852894217
FORCED_Close0.0Pt_neb_img05,1,7.1317679112326005,77.88323422528869,37.09835095714282
FORCED_Close0.25PtOH2_neb_img00,1,7.152606089448454,68.52592290255424,36.73805321447305
